"","Year","Turnout","Ideology","No.Identification","Ideology.Folded","Conservative","Liberal","Liberal.Thermometer","Conservative.Thermometer","Republican.Thermometer","Education","Party.ID","PartyID.Folded","Household.Income","Age","Female","Race","Black","Region","Union.Member","Church.Attendance","Married","Social.Class"
"36747",1992,NA,0,0,0,0,0,NA,NA,50,3,4,0,4,55,0,1,0,1,0,5,1,3
"36748",1992,1,0,0,0,0,0,50,50,50,4,5,1,3,33,1,1,0,3,0,1,1,1
"36749",1992,NA,1,0,1,1,0,NA,NA,60,4,2,2,3,26,0,3,0,3,0,1,1,1
"36750",1992,1,2,0,2,1,0,50,85,50,3,6,2,1,55,0,2,1,3,0,4,1,1
"36751",1992,1,2,0,2,1,0,10,75,85,5,6,2,4,45,1,1,0,4,0,4,0,6
"36752",1992,1,-1,0,1,0,1,40,40,60,4,5,1,4,21,0,1,0,4,1,4,0,3
"36753",1992,0,3,0,3,1,0,70,50,97,5,7,3,4,86,1,1,0,4,0,1,0,6
"36754",1992,0,-2,0,2,0,1,70,40,30,5,3,1,3,38,0,1,0,4,0,2,1,1
"36755",1992,NA,1,0,1,1,0,NA,NA,50,5,6,2,4,31,0,1,0,4,0,1,1,4
"36756",1992,NA,0,0,0,0,0,NA,NA,40,3,6,2,3,28,1,1,0,4,0,1,0,4
"36757",1992,1,-1,0,1,0,1,70,60,30,3,1,3,3,18,1,1,0,4,0,3,0,4
"36758",1992,1,1,0,1,1,0,50,70,70,4,7,3,5,35,0,1,0,4,0,5,1,6
"36759",1992,NA,-2,0,2,0,1,NA,NA,0,6,3,1,4,81,1,1,0,1,0,5,0,6
"36760",1992,1,1,0,1,1,0,50,70,50,4,3,1,3,40,1,1,0,2,1,1,1,1
"36761",1992,1,0,0,0,0,0,80,75,40,4,1,3,2,48,0,3,0,4,0,3,0,4
"36762",1992,1,0,1,0,0,0,50,50,85,1,7,3,1,67,0,1,0,4,0,5,0,1
"36763",1992,1,0,0,0,0,0,70,60,40,3,2,2,3,25,1,1,0,4,0,5,1,1
"36764",1992,1,1,0,1,1,0,60,60,70,3,5,1,3,41,0,1,0,2,1,3,1,1
"36765",1992,1,1,0,1,1,0,40,60,60,5,3,1,NA,78,1,1,0,2,0,2,0,6
"36766",1992,1,0,0,0,0,0,50,50,50,3,6,2,NA,31,0,1,0,2,1,3,0,1
"36767",1992,1,0,1,0,0,0,NA,NA,60,2,6,2,1,79,1,2,1,3,0,2,0,3
"36768",1992,1,0,1,0,0,0,60,50,70,NA,5,1,3,65,1,1,0,3,0,2,0,4
"36769",1992,1,0,0,0,0,0,60,60,60,3,1,3,1,72,1,1,0,3,0,2,1,1
"36770",1992,1,0,1,0,0,0,70,70,40,6,4,0,2,68,1,2,1,3,0,2,0,1
"36771",1992,1,1,0,1,1,0,60,40,0,6,1,3,3,59,1,2,1,3,0,1,1,4
"36772",1992,1,0,0,0,0,0,60,50,40,4,3,1,3,63,0,1,0,2,0,1,1,4
"36773",1992,1,-1,0,1,0,1,50,50,60,3,5,1,4,45,0,1,0,2,1,4,1,1
"36774",1992,1,0,0,0,0,0,60,50,50,3,4,0,4,62,0,1,0,2,0,1,1,1
"36775",1992,1,-1,0,1,0,1,50,30,40,5,2,2,3,27,0,1,0,3,0,4,0,4
"36776",1992,0,1,0,1,1,0,40,60,50,3,4,0,2,50,0,2,1,3,0,1,0,1
"36777",1992,1,-1,0,1,0,1,30,NA,97,2,1,3,1,32,1,2,1,3,0,2,0,3
"36778",1992,0,-1,0,1,0,1,50,50,30,1,6,2,3,36,0,3,0,3,0,5,0,1
"36779",1992,1,3,0,3,1,0,15,97,85,3,7,3,4,39,1,1,0,2,0,1,1,1
"36780",1992,1,-1,0,1,0,1,40,70,70,4,6,2,2,70,1,1,0,2,1,1,1,1
"36781",1992,1,0,1,0,0,0,60,60,50,3,1,3,3,38,0,2,1,3,0,2,1,1
"36782",1992,1,0,1,0,0,0,60,60,85,3,7,3,2,81,1,1,0,2,0,1,0,4
"36783",1992,0,0,1,0,0,0,NA,NA,NA,3,3,1,2,36,0,2,1,3,0,1,1,1
"36784",1992,0,2,0,2,1,0,70,85,50,3,2,2,4,58,0,2,1,1,1,5,1,1
"36785",1992,1,0,0,0,0,0,50,60,50,3,2,2,1,69,0,1,0,2,0,1,0,1
"36786",1992,1,-1,0,1,0,1,60,70,40,3,1,3,4,60,0,1,0,1,0,1,1,4
"36787",1992,1,-2,0,2,0,1,97,0,0,4,2,2,4,37,0,1,0,2,1,4,1,4
